Edge TPU Compiler version 16.0.384591198
Input: detect.tflite
Output: detect_edgetpu.tflite

Operator                       Count      Status

DEPTHWISE_CONV_2D              51         Operation is working on an unsupported data type
LOGISTIC                       1          Operation is working on an unsupported data type
CONCATENATION                  2          Operation is working on an unsupported data type
PACK                           4          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESHAPE                        4          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESHAPE                        10         Operation is working on an unsupported data type
CUSTOM                         1          Operation is working on an unsupported data type
ADD                            12         Operation is working on an unsupported data type
CONV_2D                        72         Operation is working on an unsupported data type
